doc_id,text,
139,'Milenyum çocukları' 24 Haziran'da ilk kez sandık başında... https://t.co/KMREibz9f0 https://t.co/g4d2pt5sIG,
140,Oyuncu Barış Atay gözaltına alındı... https://t.co/2s0sOF5gKt https://t.co/EcbofT4V1h,
141,DEAŞ'ın füzecisi Adana'da atık toplarken yakalandı https://t.co/2swbGZcaji https://t.co/L4UsIt4SGH,
142,Altın kollu adam! Kanıyla milyonlarca bebeği kurtardı! https://t.co/fyKMxUie0X https://t.co/RCwNkBgmG3,
143,Dünyadaki bütün ülkeleri en kısa sürede gezerek rekor kırdı! https://t.co/CYKSXI07sx https://t.co/Kxjjtzi10a,
144,Dışişleri'nden İsrail'in İstanbul Başkonsolosu'na: Ülkene dön... https://t.co/1TJYUHQqbA https://t.co/g9uQBYvQCt,
145,Nobel ödüllü bilim insanı: Oruç vücudun yenilenmesini sağlıyor... https://t.co/EhcIxlIyTA https://t.co/RTJeltYCbi,
146,SICAK GELİŞME! DIŞİŞLERİ: İSRAİL'İN İSTANBUL BAŞKONSOLOSUNUN ÜLKESİNE DÖNMESİ İSTENDİ,
147,Türkmen lider rallici oldu! Profesyonel pilotu 12 saniye geçerek galip geldi... https://t.co/Z4l2muBbe6 https://t.co/EQu29W20gB,
148,Konutta indirim kampanyası! https://t.co/hf5uNJQJe2 https://t.co/mg5n4Wyc2U,
149,Atatürk Lisesi'nde 'İzmir Marşı' krizi... https://t.co/kJ7D0CKIH2 https://t.co/kop2BClMbU,
150,Döviz kuru hurma fiyatlarını da vurdu! https://t.co/4nFkbaXTGN https://t.co/tA1ssLJUvA,
151,23 dilde konuşan Robot Elias Türkiye'de! https://t.co/qFWbo8NT2f https://t.co/dVQ589Q1qq,
152,Sokak sanatçısından Bitcoin'li duvarlar! https://t.co/GjwgjJaov4 https://t.co/93O4VY9vFU,
153,Şubat ayı işsizlik oranı açıklandı https://t.co/UB9qaOEMW8 https://t.co/yR7QCi7jWk,
154,Noterlerde yeni dönem başlıyor https://t.co/93qI4m9NIj https://t.co/EuHf6Mbcae,
155,Öğretmenlerden S.O.S. ekibi kuruluyor https://t.co/vy9Oq1cbdD https://t.co/TA7FRI1tb4,
